Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Richmond Balance,37.532854585520035,-77.42738650053361,Gym
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Rooftop Pool at American Tobacco Center,37.53292121026489,-77.42441966696849,Pool
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Virginia Holocaust Museum,37.53093987557506,-77.42612063884735,History Museum
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Tk's,37.533297999999995,-77.427504,Burger Joint
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,East Villa Restaurant,37.53236009994115,-77.42661138741873,Chinese Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,McCormack's Irish Pub,37.53352684313546,-77.42707676332374,Pub
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Richmond Cigar Factory,37.533994774586866,-77.42809664531714,Smoke Shop
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Virginia ABC Store,37.53141414987878,-77.42508235730216,Liquor Store
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Nota Bene Restaurant & Bar,37.53103523166646,-77.42451838358953,Italian Restaurant
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,Canal Walk,37.53224981168466,-77.4292147301419,Trail
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,2001 East,37.533866182381004,-77.42279388949017,Residential Building (Apartment / Condo)
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,American Tobacco Center Gym,37.5332105624945,-77.4241316036701,Gym
Shockoe Bottom,Richmond,VA,37.5337726,-77.42682560000002,The Gym @ CedarBroad,37.53519483020507,-77.42426612188088,Gym
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,The Hard Shell,37.53412230864754,-77.43192046709501,Seafood Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Shockoe Denim,37.53401752187561,-77.43087085883772,Clothing Store
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,La Grotta Ristorante,37.53546735902351,-77.43390404680333,Italian Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Courtyard by Marriott Richmond Downtown,37.5349603,-77.4330281,Hotel
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,City Dogs,37.535000794469106,-77.43319410845737,Hot Dog Joint
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Siné Irish Pub & Restaurant,37.534645400220086,-77.43280592161871,Pub
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Bistro Bobette,37.53562147168337,-77.43435262322919,French Restaurant
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Shockoe Slip Yoga,37.535156381649415,-77.43354810803265,Yoga Studio
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,The Urban Farmhouse Market & Café,37.535342989670035,-77.4338164473799,Coffee Shop
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Rosie Connolly's,37.53393704735952,-77.42845655890663,Pub
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Omni Richmond Hotel,37.53565597,-77.43531341,Hotel
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Canal Walk,37.53379007808501,-77.43640422821045,Trail
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Boka Tako Truck,37.536233217871604,-77.43555257030744,Food Truck
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Shockoe Espresso & Roastery,37.5351005680873,-77.434410795106,Coffee Shop
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Hot Chick,37.533716872595825,-77.42846442497422,Fried Chicken Joint
Shockoe Slip,Richmond,VA,37.5344285,-77.43218759999998,Pipeline,37.53281048437827,-77.43544610195727,Park
